Fecha,Ventas
2024-04-25,291.3
2024-04-26,235.65
2024-04-27,25.3
2024-05-03,458.05
2024-05-04,576.1
2024-05-05,626.7
2024-05-06,141.6
2024-05-07,488.35
2024-05-08,427.5
2024-05-09,522.85
2024-05-10,1011.1
2024-05-11,1170.9
2024-05-12,1465.7
2024-05-14,239.25
2024-05-15,1215.1
2024-05-16,270.9
2024-05-17,574.8
2024-05-18,868.45
2024-05-19,916.75
2024-05-21,255.35
2024-05-22,359.65
2024-05-23,651.3
2024-05-24,899.35
2024-05-25,956.7
2024-05-26,1321.55
2024-05-28,615.7
2024-05-29,613.2
2024-05-30,884.6
2024-05-31,1039.8
2024-06-01,1196.15
2024-06-02,1268.1
2024-06-04,610.95
2024-06-05,766.35
2024-06-06,868.85
2024-06-07,1141.85
2024-06-08,565.6
2024-06-09,1122.6
2024-06-11,652.25
2024-06-12,503.25
2024-06-13,652.85
2024-06-14,964.0
2024-06-15,822.6
2024-06-16,1164.55
2024-06-18,314.95
2024-06-19,404.0
2024-06-20,323.25
2024-06-21,1060.1
2024-06-22,838.45
2024-06-23,914.15
2024-06-25,528.95
2024-06-26,457.7
2024-06-27,603.0
2024-06-28,469.1
2024-06-29,719.55
2024-06-30,872.05
2024-07-02,347.5
2024-07-03,601.1
2024-07-04,618.0
2024-07-05,624.65
2024-07-06,887.65
2024-07-07,956.2
2024-07-09,474.15
2024-07-10,481.15
2024-07-11,674.3
2024-07-12,685.45
2024-07-13,795.85
2024-07-14,744.8
2024-07-16,466.1
2024-07-17,391.3
2024-07-18,527.1
2024-07-19,485.55
2024-07-20,800.5
2024-07-21,818.3
2024-07-23,483.65
2024-07-24,513.3
2024-07-26,524.15
2024-07-27,510.4
2024-07-28,576.9
2024-07-29,275.75
2024-07-30,505.1
2024-07-31,444.1
2024-08-01,481.3
2024-08-02,588.05
2024-08-03,522.3
2024-08-04,552.2
2024-08-06,362.5
2024-08-07,396.6
2024-08-08,330.9
2024-08-09,431.6
2024-08-10,576.25
2024-08-15,862.85
2024-08-16,497.3
2024-08-17,448.8
2024-08-18,573.15
2024-08-20,380.55
2024-08-21,389.5
2024-08-22,376.15
2024-08-23,506.65
2024-08-24,763.1
2024-08-25,449.6
2024-08-27,330.9
2024-08-28,508.35
2024-08-29,331.2
2024-08-30,573.0
2024-08-31,613.85
2024-09-01,1071.4
2024-09-03,577.6
2024-09-04,532.4
2024-09-05,493.55
2024-09-06,710.65
2024-09-07,960.3
2024-09-08,829.3
2024-09-10,518.1
2024-09-11,519.7
2024-09-12,465.0
2024-09-13,642.2
2024-09-14,691.0
2024-09-15,918.7
2024-09-17,604.75
2024-09-18,351.5
2024-09-19,225.3
2024-09-20,305.55
2024-09-21,562.75
2024-09-22,763.8
2024-09-24,219.35
2024-09-25,204.95
2024-09-26,160.65
2024-09-27,282.35
2024-09-28,511.85
2024-09-29,695.8
2024-09-30,230.7
2024-10-01,319.35
2024-10-02,104.7
2024-10-03,301.0
2024-10-04,498.73
2024-10-05,435.62
2024-10-06,554.07
2024-10-08,221.88
2024-10-09,118.62
2024-10-10,194.4
2024-10-11,283.12
2024-10-12,263.97
2024-10-13,684.2
2024-10-15,120.49
2024-10-16,221.81
2024-10-17,176.7
2024-10-18,237.41
2024-10-19,413.51
2024-10-20,550.22
2024-10-24,216.33
2024-10-25,137.42
2024-10-26,269.11
2024-10-27,218.72
2024-10-30,157.4
2024-10-31,187.28
2024-11-01,241.12
2024-11-02,397.29
2024-11-03,398.53
2024-11-05,125.89
2024-11-06,183.0
2024-11-07,172.32
2024-11-08,206.62
2024-11-09,214.84
2024-11-10,414.27
2024-11-12,84.2
2024-11-13,107.86
2024-11-14,120.07
2024-11-15,152.88
2024-11-16,227.99
2024-11-17,316.09
2024-11-19,119.35
2024-11-20,196.38
2024-11-21,104.02
2024-11-22,127.03
2024-11-23,241.63
2024-11-24,300.32
2024-11-26,88.78
2024-11-27,167.84
2024-11-28,126.82
2024-11-29,79.18
2024-11-30,326.67
2024-12-01,259.46
2024-12-03,88.5
2024-12-04,221.86
2024-12-05,129.2
2024-12-06,171.68
2024-12-07,204.69
2024-12-08,261.64
2024-12-10,102.65
2024-12-11,161.06
2024-12-12,150.04
2024-12-13,136.92
2024-12-14,214.44
2024-12-15,213.64
2024-12-17,149.3
2024-12-18,102.26
2024-12-19,218.16
2024-12-20,217.89
2024-12-21,219.09
2024-12-22,221.48
2024-12-24,321.4
2024-12-27,184.4
2024-12-28,170.78
2024-12-29,248.4
2024-12-31,312.08
