Grupo;Ventas;SubTotal;Impuestos;Total;SubTotal Coste;Beneficio
23/11/2021;16;67,72;6,33;74,05;10,12;57,6
24/11/2021;19;48,97;4,9;53,87;4,39;44,58
25/11/2021;18;73,56;7,56;81,12;13,86;59,7
26/11/2021;19;72,27;6,99;79,26;8,45;63,82
27/11/2021;22;137,92;13,83;151,75;12,48;125,44
28/11/2021;14;76,76;7,69;84,45;13,43;63,33
30/11/2021;20;58;6,25;64,25;7,87;50,13
01/12/2021;21;76,63;7,43;84,05;4,76;71,87
02/12/2021;19;86,91;8,45;95,36;10,09;76,82
03/12/2021;26;105,48;10,35;115,83;14,55;90,93
04/12/2021;21;106,31;10,39;116,7;10,72;95,59
05/12/2021;18;109,98;11,66;121,64;8,26;101,72
06/12/2021;21;110,3;11,02;121,31;14,28;96,02
08/12/2021;13;102,52;9,78;112,3;8,76;93,76
09/12/2021;21;63,18;6,32;69,5;2,69;60,49
10/12/2021;30;138,9;13,91;152,81;11;127,9
11/12/2021;36;193,21;22,47;215,68;20,57;172,64
12/12/2021;38;265,72;26,53;292,25;16,92;248,8
14/12/2021;29;99,46;9,95;109,41;9,73;89,73
15/12/2021;17;62,18;6,22;68,4;6,92;55,26
16/12/2021;29;105,09;10,51;115,6;11,61;93,48
17/12/2021;35;144,97;14,5;159,47;18,24;126,73
18/12/2021;30;179,13;18,12;197,25;9,96;169,17
19/12/2021;29;181,17;18,35;199,53;29,53;151,64
21/12/2021;27;91,58;9,83;101,41;14,63;76,95
22/12/2021;26;81,09;8,36;89,45;6,36;74,73
23/12/2021;24;148,44;15,05;163,5;5,63;142,81
24/12/2021;20;216,74;21,67;238,41;17,84;198,9
26/12/2021;7;22,64;2,26;24,9;1,81;20,83
27/12/2021;23;96,03;9,6;105,64;24,2;71,83
28/12/2021;25;126,31;12,39;138,7;8,64;117,67
29/12/2021;19;154,53;15,45;169,98;31,02;123,51
30/12/2021;28;104,46;11,68;116,14;17,31;87,15
31/12/2021;29;248,72;25,38;274,1;10,97;237,75
02/01/2022;23;140,99;13,86;154,85;7,02;133,97
03/01/2022;22;104,5;10,66;115,16;7,08;97,42
04/01/2022;21;78,74;7,64;86,38;6,71;72,03
05/01/2022;8;43,47;4,35;47,81;22,57;20,9
06/01/2022;25;141,78;14,22;156;14,81;126,97
07/01/2022;14;55,02;5,26;60,28;13,82;41,2
08/01/2022;16;95,98;9,92;105,9;4,89;91,09
14/01/2022;19;59,83;6,24;66,07;15,67;44,16
15/01/2022;26;164,31;16,64;180,95;20,65;143,66
16/01/2022;24;135,09;13,51;148,6;11,36;123,73
21/01/2022;20;68,53;6,61;75,14;7,3;61,23
22/01/2022;26;149,27;15,18;164,45;14,99;134,28
23/01/2022;28;165,12;16,93;182,05;7,85;157,27
28/01/2022;30;166,25;16,9;183,14;25,52;140,73
29/01/2022;56;340,51;38,21;378,72;23,65;316,86
30/01/2022;52;355,5;38,6;394,11;24,16;331,34
01/02/2022;6;35,95;3,6;39,55;3,03;32,92
02/02/2022;35;153,95;14,89;168,84;11,09;142,86
03/02/2022;33;124,94;12,55;137,48;12,81;112,13
04/02/2022;32;139,39;13,94;153,32;14,73;124,66
05/02/2022;49;309,5;31,2;340,7;21,05;288,45
06/02/2022;85;497,08;57;554,07;39;458,08
08/02/2022;43;215,42;21,53;236,94;25,89;189,53
09/02/2022;47;249,45;24,01;273,46;26,56;222,89
10/02/2022;42;174,46;17,44;191,9;15,42;159,04
11/02/2022;54;254,44;25,51;279,96;23,36;231,08
12/02/2022;60;478,85;56,18;535,03;104,25;374,6
13/02/2022;44;371,5;39,95;411,45;35,01;336,49
15/02/2022;23;90,91;9,09;100;11,69;79,22
16/02/2022;28;133,09;13,07;146,16;10,42;122,67
17/02/2022;44;209,32;22,49;231,81;22,8;186,52
18/02/2022;38;189,45;18,94;208,39;9,08;180,37
19/02/2022;39;258,63;25,88;284,51;29,35;229,28
20/02/2022;76;538,5;57,62;596,13;49,62;488,88
22/02/2022;49;189,53;18,99;208,52;14,23;175,3
23/02/2022;41;217,51;22,74;240,25;13,65;203,86
24/02/2022;37;205,21;20,52;225,73;9,67;195,54
25/02/2022;27;176,71;17,64;194,35;31,5;145,21
26/02/2022;29;174,2;17,18;191,38;15,21;158,99
27/02/2022;75;511,95;55,63;567,58;61,11;450,84
28/02/2022;47;225,05;22,5;247,55;14,05;211
01/03/2022;49;251,86;28,15;280,01;20,39;231,47
03/03/2022;27;71,09;7,11;78,2;10,14;60,95
04/03/2022;37;174,31;17,21;191,52;14,53;159,78
05/03/2022;49;273;27,26;300,26;24,47;248,53
06/03/2022;56;339,67;37,13;376,8;25,19;314,48
08/03/2022;32;136,07;13,61;149,68;9,04;127,03
09/03/2022;25;107,19;10,01;117,2;13,21;93,98
10/03/2022;25;119,59;11,76;131,35;13,39;106,2
11/03/2022;32;157,56;15,98;173,54;24,36;133,2
12/03/2022;30;170,57;18,58;189,16;17,6;152,97
13/03/2022;101;564,82;64,74;629,56;52,58;512,24
15/03/2022;14;59,77;5,98;65,75;5,44;54,33
16/03/2022;25;113,76;11,38;125,13;7,68;106,08
