,Fecha,Temperatura_Media,Precipitaciones,Humedad_Relativa,Radiación_Solar,Velocidad_Viento
304,2023-12-01,8.1,0.54,77.0,94.0,1.5
305,2023-12-02,7.5,0.0,80.0,107.0,0.9
306,2023-12-02,7.5,0.0,68.0,107.0,0.9
307,2023-12-03,3.9,0.0,83.0,92.0,0.7
308,2023-12-03,3.9,0.0,86.0,92.0,0.7
309,2023-12-04,6.8,0.03,79.0,57.0,1.7
310,2023-12-04,6.8,0.03,91.0,57.0,1.7
311,2023-12-05,5.9,0.0,77.0,54.0,0.7
312,2023-12-05,5.9,0.0,74.0,54.0,0.7
313,2023-12-06,5.9,0.0,82.0,67.0,0.5
314,2023-12-06,5.9,0.0,77.0,67.0,0.5
315,2023-12-07,4.8,0.07,98.0,21.0,0.4
316,2023-12-07,4.8,0.07,95.0,21.0,0.4
317,2023-12-08,8.9,0.0,98.0,84.0,0.7821428571428574
318,2023-12-08,8.9,0.0,75.0,84.0,0.7821428571428574
319,2023-12-09,9.6,0.0,68.0,71.0,0.7821428571428574
320,2023-12-09,9.6,0.0,89.0,71.0,0.7821428571428574
321,2023-12-10,11.0,0.0,85.0,18.0,0.7821428571428574
322,2023-12-10,11.0,0.0,96.0,18.0,0.7821428571428574
323,2023-12-11,10.8,0.0,95.0,39.0,0.5
324,2023-12-11,10.8,0.0,89.0,39.0,0.5
325,2023-12-12,9.4,0.06,87.0,17.0,0.8
326,2023-12-12,9.4,0.06,96.0,17.0,0.8
327,2023-12-13,9.5,0.01,84.0,95.0,1.7
328,2023-12-13,9.5,0.01,73.0,95.0,1.7
329,2023-12-14,6.8,0.0,88.0,96.0,0.8
330,2023-12-14,6.8,0.0,71.0,96.0,0.8
331,2023-12-15,6.8,0.0,82.0,99.0,0.8
332,2023-12-15,6.8,0.0,77.0,99.0,0.8
333,2023-12-16,5.0,0.0,83.0,100.0,0.5
334,2023-12-16,5.0,0.0,79.0,100.0,0.5
335,2023-12-17,4.6,0.0,73.0,101.0,0.5
336,2023-12-17,4.6,0.0,78.0,101.0,0.5
337,2023-12-18,4.4,0.0,63.0,99.0,0.5
338,2023-12-18,4.4,0.0,80.0,99.0,0.5
339,2023-12-19,4.3,0.0,70.0,98.0,0.7
340,2023-12-19,4.3,0.0,82.0,98.0,0.7
341,2023-12-20,5.8,0.02,68.0,90.0,1.2
342,2023-12-20,5.8,0.02,72.0,90.0,1.2
343,2023-12-21,5.8,0.0,66.0,93.0,0.6
344,2023-12-21,5.8,0.0,74.0,93.0,0.6
345,2023-12-22,5.6,0.0,42.0,99.0,0.5
346,2023-12-22,5.6,0.0,79.0,99.0,0.5
347,2023-12-23,5.0,0.0,62.0,100.0,0.5
348,2023-12-23,5.0,0.0,77.0,100.0,0.5
349,2023-12-24,4.4,0.0,67.0,98.0,0.5
350,2023-12-24,4.4,0.0,79.0,98.0,0.5
351,2023-12-25,3.7,0.0,60.0,99.0,0.6
352,2023-12-25,3.7,0.0,84.0,99.0,0.6
353,2023-12-26,3.0,0.0,62.0,100.0,0.6
354,2023-12-26,3.0,0.0,86.0,100.0,0.6
355,2023-12-27,3.2,0.0,62.0,101.0,0.6
356,2023-12-27,3.2,0.0,82.0,101.0,0.6
357,2023-12-28,2.6,0.0,57.0,54.0,0.5
358,2023-12-28,2.6,0.0,86.0,54.0,0.5
359,2023-12-29,4.4,0.0,64.0,38.0,0.6
360,2023-12-29,4.4,0.0,88.0,38.0,0.6
361,2023-12-30,5.6,0.0,66.0,95.0,0.7
362,2023-12-30,5.6,0.0,82.0,95.0,0.7
363,2023-12-31,6.7,0.0,68.0,56.0,1.8
364,2023-12-31,6.7,0.0,91.0,56.0,1.8
