,Fecha,Ventas
680,2023-04-07,559.81
681,2023-04-08,503.38
682,2023-04-09,913.64
683,2023-04-11,280.65
684,2023-04-12,232.8
685,2023-04-13,234.45
686,2023-04-14,313.95
687,2023-04-15,912.85
688,2023-04-16,1329.75
689,2023-04-18,477.25
690,2023-04-19,382.6
691,2023-04-20,553.0
692,2023-04-21,637.35
693,2023-04-22,1017.5
694,2023-04-23,1417.55
695,2023-04-25,518.8
696,2023-04-26,367.3
697,2023-04-27,729.25
698,2023-04-28,879.95
699,2023-04-29,735.4
700,2023-04-30,854.35
701,2023-05-03,483.1
702,2023-05-04,358.25
703,2023-05-05,793.1
704,2023-05-06,1143.35
705,2023-05-07,1884.6
706,2023-05-09,462.6
707,2023-05-10,486.3
708,2023-05-11,484.3
709,2023-05-12,365.25
710,2023-05-13,866.0
711,2023-05-14,899.75
712,2023-05-16,287.8
713,2023-05-17,352.8
714,2023-05-18,432.8
715,2023-05-19,473.35
716,2023-05-20,909.4
717,2023-05-21,782.75
718,2023-05-23,193.25
719,2023-05-24,303.9
720,2023-05-25,333.85
721,2023-05-26,328.9
722,2023-05-27,660.25
723,2023-05-28,599.9
724,2023-05-30,252.85
725,2023-05-31,384.75
726,2023-06-01,366.5
727,2023-06-02,513.8
728,2023-06-03,1027.4
729,2023-06-04,1244.25
730,2023-06-06,603.9
731,2023-06-07,200.7
732,2023-06-08,267.6
733,2023-06-09,809.2
734,2023-06-10,992.65
735,2023-06-11,1301.65
736,2023-06-13,511.5
737,2023-06-14,647.8
738,2023-06-15,621.85
739,2023-06-16,1040.0
740,2023-06-17,881.65
741,2023-06-18,925.2
742,2023-06-20,493.5
743,2023-06-21,576.05
744,2023-06-22,973.65
745,2023-06-23,981.2
746,2023-06-24,1280.8
747,2023-06-25,1141.35
748,2023-06-27,698.3
749,2023-06-28,635.05
750,2023-06-29,528.05
751,2023-06-30,743.3
752,2023-07-01,926.35
753,2023-07-02,1094.9
754,2023-07-04,622.45
755,2023-07-05,574.9
756,2023-07-06,572.1
757,2023-07-07,743.35
758,2023-07-08,801.25
759,2023-07-09,944.25
760,2023-07-11,693.8
761,2023-07-12,738.35
762,2023-07-13,442.0
763,2023-07-14,708.05
764,2023-07-15,906.95
765,2023-07-16,960.65
766,2023-07-18,365.85
767,2023-07-19,524.4
768,2023-07-20,509.5
769,2023-07-21,689.3
770,2023-07-22,724.2
771,2023-07-23,1123.8
772,2023-07-25,465.05
773,2023-07-26,547.85
774,2023-07-27,551.3
775,2023-07-28,702.0
776,2023-07-29,444.05
777,2023-07-30,701.75
778,2023-08-01,430.0
779,2023-08-02,512.05
780,2023-08-03,379.4
781,2023-08-04,556.3
782,2023-08-05,524.45
783,2023-08-06,540.15
784,2023-08-08,408.7
785,2023-08-09,377.35
786,2023-08-10,323.25
787,2023-08-11,405.0
788,2023-08-12,491.45
789,2023-08-13,451.85
790,2023-08-18,444.1
791,2023-08-19,449.1
792,2023-08-20,338.45
793,2023-08-22,386.7
794,2023-08-23,342.95
795,2023-08-24,347.5
796,2023-08-25,534.25
797,2023-08-26,567.85
798,2023-08-27,712.95
799,2023-08-29,337.3
800,2023-08-30,468.05
801,2023-08-31,450.75
802,2023-09-01,466.45
803,2023-09-02,331.15
804,2023-09-05,557.7
805,2023-09-06,513.35
806,2023-09-07,502.5
807,2023-09-08,677.5
808,2023-09-09,583.9
809,2023-09-10,800.7
810,2023-09-12,377.05
811,2023-09-13,449.0
812,2023-09-14,438.05
813,2023-09-15,722.95
814,2023-09-16,359.15
815,2023-09-17,276.4
816,2023-09-19,370.7
817,2023-09-20,292.35
818,2023-09-22,421.9
819,2023-09-23,691.7
820,2023-09-24,904.85
821,2023-09-25,329.25
822,2023-09-26,355.0
823,2023-09-27,450.85
824,2023-09-28,387.3
825,2023-09-29,601.9
826,2023-09-30,821.1
827,2023-10-01,1001.15
828,2023-10-03,360.45
829,2023-10-04,486.25
830,2023-10-05,412.75
831,2023-10-07,532.4
832,2023-10-08,968.15
833,2023-10-09,255.45
834,2023-10-10,212.2
835,2023-10-11,341.3
836,2023-10-12,715.15
837,2023-10-13,307.83
838,2023-10-14,393.72
839,2023-10-15,596.17
840,2023-10-17,194.87
841,2023-10-18,123.89
842,2023-10-19,86.09
